id,current_status,direction_id,latitude,longitude,updated_at,day,time_slot
y1118,IN_TRANSIT_TO,1,42.3480863,-71.0423218,2019-10-26T05:58:48-04:00,5,5
y1109,IN_TRANSIT_TO,0,42.344715559,-71.02817549,2019-10-26T06:00:16-04:00,5,6
y1293,IN_TRANSIT_TO,1,42.33672707,-71.07654805,2019-10-26T06:00:17-04:00,5,6
y1288,IN_TRANSIT_TO,0,42.32968,-71.08382,2019-10-26T05:59:59-04:00,5,5
y1284,IN_TRANSIT_TO,1,42.34925972,-71.06397402,2019-10-26T06:00:18-04:00,5,6
y1276,IN_TRANSIT_TO,0,42.35067067,-71.063190399,2019-10-26T06:00:16-04:00,5,6
y1275,IN_TRANSIT_TO,0,42.3387993,-71.07381715,2019-10-26T06:00:18-04:00,5,6
y1888,IN_TRANSIT_TO,1,42.32988632,-71.084210389,2019-10-26T06:00:09-04:00,5,6
y1886,IN_TRANSIT_TO,1,42.36054991,-71.0955528,2019-10-26T06:00:18-04:00,5,6
y1875,IN_TRANSIT_TO,0,42.37309,-71.1177,2019-10-26T05:58:14-04:00,5,5
y1827,IN_TRANSIT_TO,0,42.32964,-71.08373,2019-10-26T06:00:18-04:00,5,6
y1793,IN_TRANSIT_TO,0,42.34057847,-71.08160232,2019-10-26T06:00:10-04:00,5,6
y1902,IN_TRANSIT_TO,1,42.344823679,-71.06528372,2019-10-26T06:00:03-04:00,5,6
y1782,IN_TRANSIT_TO,0,42.33118424,-71.04837388,2019-10-26T06:00:16-04:00,5,6
y1870,IN_TRANSIT_TO,1,42.3183849,-71.06349358,2019-10-26T06:00:17-04:00,5,6
y1906,IN_TRANSIT_TO,1,42.33102747,-71.08943549,2019-10-26T06:00:18-04:00,5,6
y1882,IN_TRANSIT_TO,0,42.29033,-71.07156,2019-10-26T06:00:14-04:00,5,6
y1836,IN_TRANSIT_TO,1,42.29568742,-71.07210739,2019-10-26T06:00:09-04:00,5,6
y1717,IN_TRANSIT_TO,1,42.33631832,-71.08847403,2019-10-26T06:00:14-04:00,5,6
y1600,IN_TRANSIT_TO,1,42.28395918,-71.06382189,2019-10-26T06:00:16-04:00,5,6
y1664,IN_TRANSIT_TO,0,42.27138473,-71.10532102,2019-10-26T06:00:18-04:00,5,6
y1622,IN_TRANSIT_TO,1,42.29938649,-71.11464146,2019-10-26T06:00:09-04:00,5,6
y1608,IN_TRANSIT_TO,0,42.28765956,-71.1520742,2019-10-26T06:00:16-04:00,5,6
y1788,IN_TRANSIT_TO,1,42.3143881,-71.08844011,2019-10-26T06:00:10-04:00,5,6
y1861,IN_TRANSIT_TO,1,42.34377829,-71.09743767,2019-10-26T06:00:20-04:00,5,6
y1845,IN_TRANSIT_TO,0,42.34791205,-71.093035389,2019-10-26T06:00:22-04:00,5,6
y1453,IN_TRANSIT_TO,1,42.35382594,-71.13934657,2019-10-26T06:00:23-04:00,5,6
y0719,IN_TRANSIT_TO,0,42.36174904,-71.10068708,2019-10-26T06:00:10-04:00,5,6
y0623,IN_TRANSIT_TO,1,42.364936129,-71.18166797,2019-10-26T06:00:20-04:00,5,6
y0605,IN_TRANSIT_TO,0,42.376340949,-71.25660647,2019-10-26T06:00:21-04:00,5,6
y0647,IN_TRANSIT_TO,1,42.3823367,-71.1311054,2019-10-26T06:00:24-04:00,5,6
y1434,IN_TRANSIT_TO,1,42.37695589,-71.10498334,2019-10-26T06:00:21-04:00,5,6
