District,Representative,Party,Assumed Office
1st Barnstable,Timothy R. Whelan,Republican,2015
2nd Barnstable,"William L. Crocker, Jr.",Republican,2017
3rd Barnstable,David T. Vieira,Republican,2011
4th Barnstable,Sarah K. Peake,Democratic,2007
5th Barnstable,Randy Hunt,Republican,2011
"Barnstable, Dukes, Nantucket",Dylan A. Fernandes,Democratic,2017
1st Berkshire,Vacant,"",""
2nd Berkshire,Paul Mark,Democratic,2011
3rd Berkshire,Tricia Farley-Bouvier,Democratic,2011
4th Berkshire,William Pignatelli,Democratic,2003
1st Bristol,Fred J. Barrows,Republican,2007
2nd Bristol,Paul Heroux,Democratic,2013
3rd Bristol,Shaunna O'Connell,Republican,2011
4th Bristol,Steven Howitt,Republican,2011
5th Bristol,Patricia A. Haddad,Democratic,2001
6th Bristol,Carole A. Fiola,Democratic,2013
7th Bristol,Alan Silvia,Democratic,2013
8th Bristol,Paul A. Schmid III,Democratic,2011
9th Bristol,Christopher M. Markey,Democratic,2011
10th Bristol,William M. Straus,Democratic,1993
11th Bristol,Robert Koczera,Democratic,1989
12th Bristol,Keiko Orrall,Republican,2011
13th Bristol,Antonio F. D. Cabral,Democratic,1991
14th Bristol,Elizabeth A. Poirier,Republican,1999
1st Essex,James M. Kelcourse,Republican,2015
2nd Essex,Leonard Mirra,Republican,2013
3rd Essex,Brian Dempsey,Democratic,1991
4th Essex,Bradford R. Hill,Republican,1999
5th Essex,Ann-Margaret Ferrante,Democratic,2009
6th Essex,Jerald A. Parisella,Democratic,2011
7th Essex,Paul F. Tucker,Democratic,2015
8th Essex,Lori Ehrlich,Democratic,2009
9th Essex,Donald H. Wong,Republican,2011
10th Essex,Daniel F. Cahill,Democratic,2016
11th Essex,Brendan Crighton,Democratic,2015
12th Essex,Thomas Walsh,Democratic,2016
13th Essex,Theodore C. Speliotis,Democratic,1997
14th Essex,Diana DiZoglio,Democratic,2013
15th Essex,Linda Dean Campbell,Democratic,2007
