tweet_id,Timestamp,likes,retweets,replies,hashtag,text
0,2017-01-25,4,0,1,[],It's official! I've been admitted to the buquestrom Professional Evening MBA program! Thank you… https://www.instagram.com/p/BPs9PzKDnVD/ 
1,2017-01-25,0,0,0,[],Longest running local news magazine program in the country… https://www.instagram.com/p/BPsVv2EgXFevo-JFm4LtK1nERSCQJVdsB1fKSM0/ …
2,2017-01-25,2,0,0,"['director', 'youthbuild']",Our #director Felicia truly cares about every #youthbuild student that enters our program. Did… https://www.instagram.com/p/BPsMa-AguOV/ 
3,2016-10-26,0,0,0,[],City to expand program offering low-income Boston public school graduates free tuition at 2 community colleges… https://twitter.com/i/web/status/791254337016168448 …
4,2016-09-29,0,0,0,['internship'],"Human Resources Development Program – Boston¸ MA (June 2017) - Liberty Mutual - Boston, MA: That’... http://bit.ly/2d8xdH8  #internship"
5,2016-08-08,3,1,0,['BPS'],Great time speaking to the RAMP program for #BPS First Year Wentworth Institute of Technology… https://www.instagram.com/p/BI2jXKGBFUt/ 
6,2016-04-29,0,0,0,[],New program gives Boston public school grads a shot at free community college http://trib.al/uUVyuaD 
7,2016-04-07,0,0,0,[],City of Boston launches program to help replace water lines that may be leaching lead into drinking water http://bos.gl/QZevtDm 
8,2016-03-09,0,0,0,[],"2nd day of Executive Education Program (@ John F. @Kennedy_School of Government in Cambridge, MA) https://www.swarmapp.com/c/7uXsrOj2gB5 "
9,2016-03-03,0,0,0,[],GOLD: Girls Only Leadership Development program founded by Mayor E. Denise Simmons remarks by… https://www.instagram.com/p/BCgYVx5oAu-/ 
10,2016-02-24,0,0,0,[],Mayor Walsh Announces Selection of Three Artists for Boston's Artist-In-Residence Program http://bit.ly/1QDj1Wf 
11,2015-11-26,0,0,0,[],Mayor Walsh Expands Boston's Community Compost Program to Include City Hall http://bit.ly/1Hp5vkX 
12,2015-11-25,0,0,0,['Malden'],It appears that #Malden City Council will have big presentation on the Green Communities Program.
13,2015-11-04,0,0,0,[],New government retirement program guarantees no money losses: There's a new way to save for retirement and the… http://boston.cityandpress.com/node/10410513 
14,2015-10-23,0,0,0,[],Mayor Walsh Announces Selection of 11 Artist for Boston's Artist-In-Residence Program http://bit.ly/1MfACB7 
15,2017-11-30,0,0,0,[],Getting ready for the winter matineance program with Marblehead Parks and Recreation… https://www.instagram.com/p/BcIM3hwnAD_/ 
16,2017-10-25,0,0,0,[],Mayor Walsh says he supports nuTonomy Co. pilot program to test driverless cars in Seaport District.
17,2017-10-25,0,0,0,[],"Mayor Walsh also announcing ""Bank on Boston"" program to help residents who don't have a checking or savings account."
18,2017-10-25,1,1,0,[],Mayor Walsh to announce program to help raise Boston residents' credit scores. pic.twitter.com/Bk0u51gAZg
19,2017-07-25,0,0,0,[],Cambridge high schoolers in the Mayor's internship program are teaching Cambridgeans about local… https://www.instagram.com/p/BW-fUPMDv3K/ 
20,2017-05-11,1,0,0,[],In 10 mins: Candidate for Cambridge City Council Samuel Gebru Interviewed Live on WMBR's All Things Africa Program
21,2017-05-10,0,0,0,[],In 4 hrs: Candidate for Cambridge City Council Samuel Gebru Interviewed Live on WMBR's All Things Africa Program
22,2017-05-02,0,1,0,['wbz'],Gov. Baker to address Law Day program at Quincy District Court. #wbz
23,2017-03-17,0,0,0,[],H1313 [NEW] To create a gateway cities public safety pilot program http://bitly.com/UkgxPx 
24,2017-03-13,0,0,0,[],S608 [NEW] Relative to the primary care workforce development and loan repayment grant program at community healt... http://bitly.com/YpE67l 
25,2017-03-03,0,0,0,[],H1493 [NEW] To ensure fairness through the economic development tax increment financing program http://bitly.com/WFKFUY 
26,2019-01-11,0,0,0,[],H5014 [Passed] Authorizing the town of Ashland to establish a special revenue fund for an economic development funding program http://bitly.com/2M2Uzy0 
27,2019-01-04,3,0,0,"['babsoncollege', 'startup', 'entrepreneurship']","@babson at 2019 best ""Graduate Programs"". Proud to be part of this program.
#babsoncollege #startup #entrepreneurship @ Boston, Massachusetts https://www.instagram.com/p/BsOccRqBpShH-H3PKKamaxUrzTpYemFtNCa-D00/?utm_source=ig_twitter_share&igshid=7yztil76dl0e …"
28,2018-12-04,0,0,0,[],H4975 [NEW] Approving the town of Ashland Economic Development Funding Program authorizing the town of Ashland to establish a grant and loan http://bitly.com/2FWUIU9 
29,2018-11-27,0,0,0,"['bpschat', 'bpsNTIP']",Teachers in the New Teacher Induction Program practice strategies for conducting positive meetings with parents and families. #bpschat #bpsNTIP @BurlMASchools @ Burlington High School… https://www.instagram.com/p/BqszQq2FujE/?utm_source=ig_twitter_share&igshid=169lzemuhqrod …
30,2018-11-02,0,0,0,"['beastimmortal', 'beast', 'beastmode', 'beastcoast']","Ownership! The world’s most comfortable sweats for real! Beast Immortal! If you have a team, a program or a athletic club come see me!
#beastimmortal #beast #beastmode #beastcoast @… https://www.instagram.com/p/Bpsm22XFHHh/?utm_source=ig_twitter_share&igshid=x7pbuvpmcbzf …"
31,2018-11-02,0,0,0,"['cvpaumassd', 'winner']",Congrats to Kirstan Berardinelli for taking 2nd place in the Boston Interior Design Career Day competition!! #cvpaumassd ne_idcd @umassdcvpa #winner kirstanxolee @ District Hall https://www.instagram.com/p/BpsGCM1Fh9e/?utm_source=ig_twitter_share&igshid=108kgpkbye1x1 …
32,2018-10-23,3,0,0,[],Leadership — Harvard University Housing is grateful for the leadership from Graduate Commons Program Director Lisa Valela for ten years of Making Harvard Home for thousands of residents… https://www.instagram.com/p/BpSyExqjaGC/?utm_source=ig_twitter_share&igshid=ss0bx77unfwn …
33,2018-10-19,0,0,0,[],"A throwback to Summer 2009 in Cambridge, MA with Andrew Gillum in Harvard’s Kennedy School’s Senior Executive Program for State and Local Government. 9 years later My roommate, Andrew is… https://www.instagram.com/p/BpIauEbHLIW/?utm_source=ig_twitter_share&igshid=17wf1mf5dx1q5 …"
34,2018-08-06,0,0,0,"['blessed', 'beauty', 'beinghuman', 'thankyouforthelove']","May 18-22, 2017 flashbacks from last John F. Kennedy School of Government reunion for my two year MPA program at Harvard University #blessed #beauty #beinghuman #thankyouforthelove… https://www.instagram.com/p/BmHjJq1hGFS/?utm_source=ig_twitter_share&igshid=lywflqq3vgnv …"
35,2018-07-24,0,0,0,[],City Council Hearing on PILOT Program https://www.massjwj.net/events/2018/8/2/city-council-hearing-on-pilot-program …
36,2014-05-23,0,1,0,[],"@SumnerBPS Sumner ExtendedDay Program @ Brimmer and May Dress Rehearsal ""Grease"" pic.twitter.com/HZNoH35gzs"
37,2014-05-23,0,1,0,[],"@SumnerBPS Sumner ExtendedDay Program @ Brimmer and May Dress Rehearsal ""Grease"" pic.twitter.com/HZNoH35gzs"
38,2014-05-19,0,0,0,[],Report: Boston schools food program in disarray: BOSTON — An external review of the Boston public school system's... http://dlvr.it/5jcBxk 
